folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,anio,nivel,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
11A192,1,40060,1,1,0,1,14,220,1,48,6,2,1,1,1,1,1,1,2,1,1,4,,2,2,2,1,2,2,,2,0,2,1,1,,2,4,,2,2,2,1,2,2,1,2,2,,2,0,2,1,1,,1,4,,2,1,2,1,1,2,0,2,1,2,,0,0,0,5,4,,30,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,17463,1,2,1,2,2,2,1
11A192,1,40060,3,1,0,4,14,220,2,41,3,3,7,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,10,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,37353,3,3,1,0,0,0,2
11A192,1,40060,2,1,0,2,14,220,2,55,3,3,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,1,1,1,2,1,1,2,20668,4,4,2,0,0,0,2
12A192,1,40091,4,1,0,1,14,220,1,55,5,7,1,1,1,1,2,1,2,1,2,4,,2,2,2,1,2,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,4,,1,1,1,1,1,2,0,2,1,2,,0,0,0,2,4,,20,2,0,,2,3,1,0,,2,2,2,2,1,1,2,0,1,1,1,1,1,1,1,30309,1,2,1,2,0,2,1
12A192,1,40091,1,1,0,2,14,220,2,60,3,6,7,1,1,1,2,2,2,2,2,4,,2,2,1,2,2,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,20,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,2,2,2,2,13886,1,1,1,2,0,0,1
11B176,1,40131,2,1,0,1,14,220,2,48,3,3,1,1,1,2,1,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,2,4,,2,2,2,1,2,2,2,1,2,,2,0,2,1,2,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,4,,30,2,0,,4,4,2,0,,2,2,2,2,3,3,1,2,1,1,1,1,1,1,1,33374,1,3,1,0,2,0,1
11B176,1,40131,3,1,0,1,14,220,1,67,3,6,1,1,1,2,2,1,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,3,,1,1,2,2,1,2,0,2,1,2,,0,0,0,0,0,,20,1,6,,3,3,2,0,,2,1,2,2,3,3,3,0,1,1,1,3,3,1,1,22892,1,3,1,0,0,2,1
11B176,1,40131,4,1,0,1,14,220,1,40,3,3,1,1,1,2,2,1,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,4,,2,1,2,2,1,2,0,2,1,2,,0,0,0,1,4,,10,2,0,,4,4,2,0,,2,2,2,2,3,1,3,0,1,1,1,3,3,1,1,24633,1,3,1,0,0,2,1
11B176,1,40131,1,1,0,1,14,220,1,43,2,2,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,3,3,3,0,1,1,1,3,3,3,3,16422,4,4,2,0,0,0,2
12B176,1,40132,1,1,0,1,14,220,1,68,6,2,8,1,1,1,2,2,2,2,1,4,,2,2,2,1,2,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,60,2,0,,3,3,2,0,,2,2,2,2,1,1,1,1,1,1,1,3,3,1,1,24431,1,1,1,2,0,0,1
12B176,1,40132,2,1,0,2,14,220,1,46,6,2,1,1,1,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,3,,30,1,5,,2,4,1,0,,2,1,2,2,3,3,3,0,1,1,1,3,3,1,1,16387,1,3,1,0,0,0,2
12B176,1,40132,3,1,0,1,14,220,1,52,3,6,1,1,1,2,2,1,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2,3,,1,1,2,2,1,2,0,2,1,2,,0,0,0,2,3,,10,2,0,,2,3,2,0,,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,24581,1,3,1,0,0,2,1
12B176,1,40132,4,1,0,2,14,220,2,51,3,3,1,1,1,1,1,1,2,1,2,3,,2,2,2,1,1,2,,2,0,2,1,1,,1,4,,2,2,2,1,2,2,2,2,2,,3,30,2,1,2,,2,3,,2,2,1,2,2,3,9,2,1,2,,0,0,0,1,3,,30,2,0,,2,4,2,0,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,14247,1,2,1,2,2,2,1
11B187,1,40149,4,1,0,1,14,220,1,71,6,2,8,1,1,1,2,2,2,2,2,4,,2,2,1,2,2,2,,3,300,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,30,2,0,,1,3,2,0,,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,28705,1,1,1,2,0,0,1
11B187,1,40149,3,1,0,1,14,220,2,54,3,3,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,1,1,1,2,1,2,2,25109,4,4,2,0,0,0,2
11B187,1,40149,2,1,0,2,14,220,2,24,3,3,1,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,4,,15,2,0,,2,3,2,0,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,16029,3,3,1,0,0,0,2
11B187,1,40149,1,1,0,3,14,220,2,31,3,4,7,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,4,,15,2,0,,2,3,2,0,,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,24583,3,3,1,0,0,0,2
11B173,1,40160,3,1,0,1,14,220,1,57,3,2,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,2,13817,4,4,2,0,0,0,2
11B173,1,40160,1,1,0,3,14,220,1,28,3,3,1,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,4,,15,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,30716,3,3,1,0,0,0,2
11B173,1,40160,4,1,0,1,14,220,1,32,3,3,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,15358,4,4,2,0,0,0,2
11B173,1,40160,2,1,0,1,14,220,2,38,6,2,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,2,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,6864,4,4,2,0,0,0,2
11B188,1,40278,4,1,0,2,14,220,2,42,5,7,1,1,1,1,1,1,2,1,3,4,,2,1,2,1,2,2,,3,280,2,1,1,,2,4,,2,1,2,2,2,1,2,2,2,,2,0,2,1,1,,1,4,,1,2,1,1,1,2,0,2,1,2,,0,0,0,2,4,,30,2,0,,4,3,1,0,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,20402,1,2,1,2,2,2,1
11B188,1,40278,1,1,0,2,14,220,2,70,5,2,7,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,2,0,1,2,1,2,2,22249,4,4,2,0,0,0,2
11B188,1,40278,3,1,0,1,14,220,2,46,3,4,1,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,10,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,13821,3,3,1,0,0,0,2
11B188,1,40278,2,1,0,2,14,220,2,46,3,3,7,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,2,,2,2,2,2,2,2,2,0,1,1,1,2,1,1,2,20731,4,4,2,0,0,0,2
12B188,1,40283,2,1,0,4,14,220,2,19,3,4,6,1,1,1,2,2,2,1,3,4,,2,1,2,2,1,2,,3,280,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,4,,30,2,0,,2,3,1,0,,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,37865,1,2,1,2,0,0,1
12B188,1,40283,1,1,0,1,14,220,2,41,3,4,1,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,15,2,0,,2,3,2,0,,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,7297,3,3,1,0,0,0,2
12B188,1,40283,3,1,0,4,14,220,1,22,3,7,1,1,1,1,2,2,2,1,4,2,,2,1,2,2,1,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,2,,30,2,0,,3,3,1,0,,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,37213,1,2,1,2,0,0,1
12B188,1,40283,4,1,0,1,14,220,1,30,3,4,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,2,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,8162,4,4,2,0,0,0,2
12B174,1,40285,1,1,1,1,14,220,1,50,6,2,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,27282,4,4,2,0,0,0,2
12B174,1,40285,4,1,0,2,14,220,2,67,5,7,8,1,1,1,2,2,2,1,2,4,,2,2,1,2,1,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,30,2,0,,1,1,1,0,,2,2,2,2,2,1,2,0,2,0,1,2,1,1,2,16971,1,2,1,2,0,0,1
12B174,1,40285,3,1,0,6,14,220,2,18,6,2,7,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,70656,4,4,2,0,0,0,2
12B174,1,40285,2,1,0,1,14,220,2,52,3,3,1,1,1,1,1,2,2,2,1,4,,1,2,2,2,2,2,,2,0,2,1,1,,5,4,,2,1,2,1,2,2,2,1,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,60,2,0,,4,3,2,0,,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,7906,1,2,1,2,2,0,1
11B174,1,40289,3,1,0,6,14,220,2,42,3,4,7,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,10,2,0,,3,3,2,0,,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,6647,3,3,1,0,0,0,2
11B174,1,40289,4,1,0,2,14,220,2,39,3,3,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,13294,4,4,2,0,0,0,2
11B174,1,40289,1,1,0,2,14,220,2,36,3,3,7,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,10,2,0,,1,3,2,0,,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,13294,3,3,1,0,0,0,2
11B174,1,40289,2,1,0,1,14,220,1,20,3,3,1,1,1,2,1,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,2,4,,2,2,2,1,2,2,2,1,2,,2,0,1,2,2,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,15,2,0,,2,3,1,0,,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,16949,1,3,1,0,1,0,1
11A191,1,40410,3,1,0,1,14,220,1,47,1,2,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,14232,4,4,2,0,0,0,2
11A191,1,40410,1,1,0,1,14,220,1,35,3,3,1,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,10,2,0,,2,3,2,0,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,15221,3,3,1,0,0,0,2
11A191,1,40410,2,1,0,1,14,220,1,46,3,3,1,1,2,2,2,1,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,4,,1,1,2,2,1,2,0,2,1,2,,0,0,0,0,0,,10,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,2,2,2,2,14232,3,3,1,0,0,2,1
11A191,1,40410,4,1,0,3,14,220,2,18,2,4,6,1,1,1,2,2,2,1,4,2,,2,1,2,1,2,2,,3,450,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,4,,30,2,0,,4,3,1,0,,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,23694,1,2,1,2,0,0,1
11B175,1,40417,4,1,0,3,14,220,1,44,3,3,1,1,1,2,2,1,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2,4,,1,1,1,1,1,2,0,2,1,2,,0,0,0,5,4,,20,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,32336,1,3,1,0,0,2,1
11B175,1,40417,3,1,0,1,14,220,1,35,6,2,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,16167,4,4,2,0,0,0,2
11B175,1,40417,1,1,1,2,14,220,2,24,3,3,7,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,,15,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,16779,3,3,1,0,0,0,2
11B175,1,40417,2,1,0,2,14,220,1,38,4,4,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,16167,4,4,2,0,0,0,2
11A192,2,40030,2,1,0,2,21,220,2,19,3,4,6,1,1,1,2,2,2,1,3,4,,2,2,2,2,1,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,2,,30,2,0,,3,3,1,0,,2,2,1,2,2,2,1,2,1,1,1,1,2,1,2,17984,1,2,1,2,0,0,1
11A192,2,40030,4,1,0,2,21,220,2,39,6,2,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,2,0,1,3,2,2,3,13863,4,4,2,0,0,0,2
11A192,2,40030,1,1,0,1,21,220,1,49,3,3,1,1,1,1,2,2,2,1,1,3,,2,2,2,2,1,2,,3,120,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,5,,60,2,0,,2,2,1,0,,2,2,2,2,2,1,2,0,1,1,1,2,1,1,1,32406,1,2,1,2,0,0,1
11A192,2,40030,3,1,0,2,21,220,2,28,3,4,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,1,1,2,0,2,0,1,1,1,1,1,13791,4,4,2,0,0,0,2
12A192,2,40060,1,1,0,1,21,220,2,40,6,2,1,1,1,2,2,2,1,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,2,2,1,0,0,,30,2,0,,2,3,1,0,,2,2,1,1,2,2,2,0,2,0,1,2,2,2,2,8233,1,3,1,0,0,0,2
12A192,2,40060,3,1,0,2,21,220,2,43,3,3,1,1,1,2,1,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,1,4,,2,2,2,2,2,2,2,1,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,3,,10,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,2,2,1,2,24699,1,3,1,0,2,0,1
12B187,2,40120,2,1,0,3,21,220,2,43,3,3,1,1,2,2,2,2,1,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,2,2,1,1,3,,20,2,0,,2,4,1,0,,2,2,2,1,2,2,2,0,2,0,1,2,2,2,2,21071,3,3,1,0,0,0,2
12B187,2,40120,1,1,0,1,21,220,2,91,3,5,8,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,2,,1,2,2,2,2,1,2,0,2,0,1,3,2,3,2,5744,4,4,2,0,0,0,2
12B187,2,40120,4,1,0,1,21,220,2,31,4,7,1,1,2,2,1,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,1,1,,2,2,2,2,2,2,1,2,2,,1,0,1,2,2,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,1,,15,2,0,,3,4,2,0,,2,2,1,1,2,2,2,0,1,2,1,1,1,1,1,10481,3,3,1,0,1,0,1
11B176,2,40132,4,1,0,1,21,220,1,34,3,4,4,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,,2,2,2,1,2,3,2,0,2,0,1,2,1,2,2,16308,4,4,2,0,0,0,2
11B176,2,40132,1,1,0,2,21,220,2,42,5,2,1,1,1,2,1,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,10,5,,2,2,2,2,1,2,2,2,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,3,,30,2,0,,2,2,1,0,,2,2,2,2,2,2,2,0,3,0,1,2,1,2,2,29159,1,3,1,0,2,0,1
12B176,2,40134,4,1,0,2,21,220,2,44,2,8,1,1,1,1,2,2,2,1,1,4,,2,2,2,1,2,2,,3,250,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,3,,20,2,0,,2,3,1,0,,1,2,1,1,1,1,1,2,1,5,1,2,1,3,1,12768,1,2,1,2,0,0,1
12B176,2,40134,2,1,0,1,21,220,2,37,1,4,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,19151,4,4,2,0,0,0,2
12B176,2,40134,3,1,0,1,21,220,1,36,3,3,1,1,2,1,2,2,2,2,2,1,,1,2,2,2,2,2,,2,0,2,1,2,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,30,1,6,,3,3,1,0,,2,2,2,2,1,1,1,2,1,4,1,3,1,1,1,15959,3,1,1,2,0,0,1
12B173,2,40156,1,1,1,2,21,220,2,52,6,2,7,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,,2,2,2,2,2,3,2,0,3,0,1,2,1,2,2,17572,4,4,2,0,0,0,2
12B173,2,40156,3,1,0,1,21,220,1,57,4,7,1,1,1,2,1,1,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,6,1,,2,1,2,2,2,1,2,2,2,,1,0,1,2,1,,7,3,,1,1,2,2,1,1,0,1,2,1,,0,0,0,1,3,,30,2,0,,3,3,1,0,,1,2,2,1,1,1,3,0,1,2,1,2,1,2,1,17403,1,3,1,0,1,1,1
12B173,2,40156,4,1,0,2,21,220,2,61,4,7,7,1,1,1,2,1,2,1,2,4,,2,1,1,2,2,2,,3,400,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2,3,,1,1,1,1,2,2,0,2,1,1,,0,0,0,3,3,,60,2,0,,4,3,1,0,,1,2,2,1,2,2,2,0,1,1,1,2,2,2,2,15947,1,2,1,2,0,2,1
11B188,2,40280,1,1,0,1,21,220,1,40,3,4,1,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,3,,60,2,0,,3,4,1,0,,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,17915,3,3,1,0,0,0,2
11B188,2,40280,4,1,0,1,21,220,1,49, ,0,1,1,2,2,2,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,4,,30,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,3,0,2,0,0,0,0,16751,3,3,1,0,0,0,2
