folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,anio,nivel,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
13B175,9,40591,1,1,0,2,1,220,2,44,3,6,1,1,1,1,1,2,2,1,1,3,,2,2,2,1,2,2,,2,0,2,1,1,,2,4,,2,2,2,2,2,2,2,1,2,,3,80,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,3,,30,2,0,,3,3,1,0,,2,2,2,1,2,1,2,0,2,0,1,1,1,1,1,40117,1,2,1,2,2,0,1
11A191,9,40631,1,1,0,2,1,220,1,42,2,3,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,2,0,1,3,1,3,1,28557,4,4,2,0,0,0,2
11A191,9,40631,4,1,0,1,1,220,1,40,3,2,4,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7139,0,0,0,0,0,0,0
11A191,9,40631,2,1,0,1,1,220,2,39,3,3,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,3,0,1,3,1,1,1,5711,4,4,2,0,0,0,2
11A191,9,40631,3,1,0,1,1,220,1,81,3,6,8,1,1,1,2,1,2,2,2,4,,2,2,2,1,2,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,7,3,,1,1,1,1,1,3,105,2,1,1,,0,0,0,0,0,,60,2,0,,2,3,1,0,,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,6634,1,2,1,2,0,2,1
11B175,9,40633,2,1,0,1,1,220,2,59,3,4,1,1,1,2,1,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,2,4,,2,2,1,2,2,2,2,1,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,20,2,0,,2,3,2,0,,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,18259,1,3,1,0,2,0,1
11B175,9,40633,1,1,0,1,1,220,2,37,3,6,1,1,1,2,1,2,2,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,4,4,,2,2,1,2,2,2,2,1,2,,3,120,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,4,,25,2,0,,3,3,2,0,,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,13200,1,3,1,0,2,0,1
11B175,9,40633,4,1,0,2,1,220,2,21,1,7,6,1,1,1,1,2,2,1,5,2,,2,1,2,1,1,2,,1,0,1,2,2,,5,3,,2,1,2,2,2,1,1,2,2,,3,150,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,4,,120,2,0,,4,4,2,0,,1,2,1,2,1,1,1,2,1,2,1,2,2,2,2,17124,1,2,1,1,2,0,1
11B175,9,40633,3,1,0,1,1,220,2,75,6,2,7,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,,2,2,2,2,2,2,2,0,2,0,1,2,2,2,1,14395,4,4,2,0,0,0,2
12B175,9,40634,1,1,0,2,1,220,2,74,3,6,7,1,1,2,1,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,3,4,,2,2,1,2,2,2,2,1,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,20,2,0,,2,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,2,2,2,2,13703,1,3,1,0,2,0,1
