cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_formato,r_formato,p_formato,persleclrp,edad,sexo,anio,nivel,cond_activ
09,0219,13B173,08,40129,3,1,0,01,1,1,1,1,1,2,2,3,4, ,2,2,2,2,1,2, ,2,0,2,1,1, ,1,4, ,2,2,2,2,2,2,2,1,2, ,3,29,2,1,1, ,4,3, ,1,2,2,1,2,2,0,2,1,2, ,0,0,0,0,0, ,60,2,0, ,4,3,2,0, ,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,6595,1,2,1,2,2,2,1,55,2,3,7,01
09,0219,13B173,08,40129,2,1,0,01,1,1,1,1,2,1,1,2,4, ,2,2,2,2,1,2, ,3,400,2,1,1, ,1,3, ,2,2,2,2,2,2,1,2,2, ,3,20,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,5,2,1,1,4, ,30,2,0, ,2,3,2,0, ,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,8792,1,2,1,2,2, ,1,31,2,3,7,01
09,0219,13B176,08,40131,3,1,0,02,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,1, ,2,2,2,2,2,1,2,0,3,0,1,2,1,1,2,18924,4,4,2, , , ,2,65,2,6,2,07
09,0219,12B176,08,40136,2,1,0,01,1,1,1,2,1,2,1,1,4, ,2,2,2,2,1,2, ,3,200,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,2,4, ,1,1,2,2,1,3,22,2,1,1, ,0,0,0,5,4, ,30,2,0, ,2,3,2,0, ,1,2,2,2,2,2,2,0,2,0,1,1,1,1,1,13085,1,2,1,2, ,2,1,37,1,4,7,01
09,0219,12B176,08,40136,4,1,0,01,1,1,1,2,1,2,2,5,4, ,1,1,1,1,1,2, ,3,1000,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,1,3, ,1,2,1,1,1,3,10,2,1,1, ,0,0,0,0,0, ,60,1,5, ,3,4,1,0, ,1,1,2,1,2,1,3,0,1,1,1,1,1,1,1,7825,1,2,1,2, ,2,1,24,1,1,7,01
09,0219,12B176,08,40136,3,1,0,02,1,2,1,1,2,2,1,1,4, ,2,2,2,1,2,2, ,2,0,2,1,1, ,1,4, ,2,2,2,1,2,2,2,2,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2,4, ,60,2,0, ,2,4,2,0, ,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,13810,3,2,1,2,2, ,1,31,2,3,3,01
09,0219,12B176,08,40136,1,1,0,03,1,1,1,1,2,2,1,2,2, ,2,1,2,2,2,2, ,1,0,1,2,2, ,3,3, ,2,2,2,1,2,2,1,2,2, ,3,80,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2,2, ,120,2,0, ,4,4,1,0, ,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,21608,1,2,1,1,2, ,1,25,1,1,7,06
09,0219,12A172,08,40139,3,1,0,01,1,2,2,2,1,2,1,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,7,3, ,2,1,2,2,2,1,0,1,2,2, ,0,0,0,2,1, ,30,2,0, ,4,4,2,0, ,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,17795,3,3,1, , ,1,1,28,1,3,7,01
09,0219,12A172,08,40139,4,1,0,04,1,1,1,1,2,2,1,4,2, ,2,1,2,2,2,2, ,3,1500,2,1,1, ,1,4, ,2,2,2,2,2,2,1,2,2, ,3,50,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1,4, ,30,2,0, ,2,3,1,0, ,2,1,2,1,2,2,2,0,1,1,1,2,2,2,2,35351,1,2,1,2,2, ,1,24,2,3,4,06
09,0219,13A172,08,40141,1,1,0,02,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,1, ,2,2,2,2,1,2,2,0,2,0,1,1,1,1,1,15172,4,4,2, , , ,2,36,2,3,3,07
09,0219,13A172,08,40141,3,1,0,03,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,1, ,2,2,2,2,2,2,2,0,1,1,1,2,1,2,2,36665,4,4,2, , , ,2,26,1,4,7,01
09,0219,13A172,08,40141,2,1,0,05,1,1,1,2,2,2,1,4,4, ,2,2,1,2,2,2, ,3,900,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2,3, ,90,2,0, ,4,3,1,0, ,2,2,1,1,2,2,2,0,1,1,1,2,2,2,2,39834,1,2,1,2, , ,1,21,1,1,4,01
09,0219,13A172,08,40141,4,1,0,01,1,2,2,2,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,7,3, ,1,2,2,2,1,1,0,1,2,2, ,0,0,0,0,0, ,20,2,0, ,2,4,2,0, ,2,2,2,2,2,2,2,0,2,0,1,2,1,2,2,8877,3,3,1, , ,1,1,47,1,3,4,01
09,0219,11B168,08,40198,1,1,0,01,1,2,2,2,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,1,4, ,1,1,1,1,1,3,10,2,1,1, ,0,0,0,0,0, ,20,2,0, ,2,2,2,0, ,2,2,2,2,2,2,2,0,2,0,1,3,1,1,1,15501,3,3,1, , ,2,1,43,1,3,3,01
09,0219,11B168,08,40198,2,1,0,01,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,1, ,2,2,2,2,2,2,2,0,3,0,1,2,2,2,2,7193,4,4,2, , , ,2,59,1,6,2,04
