folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,nivel,anio,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
"12A228","27","40255","3","1","0","01","18","0224","1","83","07","5","08",1,1,1,2,1,2,2,3,4,"",2,2,2,1,2,2,"",3,400,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",2,4,"",2,2,1,2,1,1,0,2,1,3,"",0,0,0,0,0,"",30,2,0,"",2,2,1,0,"",2,2,1,1,2,2,2,0,1,1,1,3,2,2,3,17090,"1","2","1","2","0","2","1"
"12A228","27","40255","1","1","0","01","18","0224","2","76","02","2","07",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,5,"",2,2,2,2,2,2,2,0,2,0,1,3,3,3,3,17090,"4","4","2","0","0","0","2"
"12A228","27","40255","2","1","0","02","18","0224","2","54","07","4","01",1,1,1,2,2,2,2,1,5,"",2,2,1,2,2,2,"",3,150,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",30,2,0,"",1,3,1,0,"",1,2,2,2,2,2,2,0,3,0,1,1,1,1,2,17090,"1","1","1","2","0","0","1"
"11B215","27","40362","4","1","0","02","18","0224","2","32","04","3","07",1,1,1,2,2,2,1,2,4,"",2,2,1,2,2,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,1,3,"",10,2,0,"",4,3,2,0,"",2,2,2,1,2,1,1,2,2,0,1,1,1,1,1,16200,"1","2","1","1","0","0","1"
"11B215","27","40362","2","1","0","02","18","0224","2","58","02","3","07",1,1,1,2,2,2,2,1,5,"",2,2,1,2,2,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",5,2,0,"",1,3,2,0,"",2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,24300,"1","1","1","1","0","0","1"
"11B215","27","40362","1","1","0","01","18","0224","2","73","02","6","07",1,1,1,2,2,2,2,1,5,"",2,2,1,2,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",10,2,0,"",1,2,2,0,"",2,2,2,2,3,3,3,0,3,0,1,2,2,2,2,16200,"1","1","1","2","0","0","1"
"11B215","27","40362","3","1","0","03","18","0224","2","25","07","2","07",1,1,1,2,2,1,1,1,4,"",2,2,2,1,2,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",4,1,2,3,4,"",15,2,0,"",2,1,2,0,"",2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,16200,"1","2","1","1","0","0","1"
"11B222","27","40388","3","1","0","01","18","0224","2","48","04","3","01",1,1,1,2,2,1,2,1,4,"",2,2,2,1,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",5,1,2,0,0,"",60,2,0,"",4,3,2,0,"",2,2,2,2,1,1,2,0,1,1,1,2,1,1,1,9652,"1","2","1","2","0","0","1"
"11B222","27","40388","2","1","0","01","18","0224","1","37","07","5","01",1,1,1,2,1,2,1,1,1,"",1,2,2,2,2,2,"",1,0,1,2,2,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",3,1,"",1,1,2,2,1,1,0,1,2,2,"",0,0,0,2,1,"",25,2,0,"",3,4,1,0,"",1,2,1,2,1,1,2,0,1,1,1,1,1,1,2,19304,"1","2","1","1","0","1","1"
"11B222","27","40388","1","1","0","02","18","0224","2","44","03","3","05",1,1,1,2,2,1,2,1,5,"",2,2,1,2,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",5,1,2,0,0,"",15,2,0,"",2,2,1,0,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,28956,"1","2","1","2","0","0","1"
